name,website,country,maturity,score,tier,matched_rules
Timegate Instruments Oy,https://www.timegate.com,FI,scaleup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
DataGreen,https://datagreen.cloud/,FR,startup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tranquility IoT & Big Data Solutions,https://www.tibsglobal.com,GB,scaleup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Normain,www.normain.com,Sweden,2 - Validating,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Evly,https://www.evly.ai/,GI,Undisclosed,46,Tier 3: Medium Priority,Rule 2: Service Providers; Rule 4: Health Innovations; Rule 5: Dev & Legacy
Aveksana,https://aveksana.com/home,FI,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Cadabit Technologies S.L.,https://www.cadabit.com/,ES,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Arcana,www.arcanabio.com,Iceland,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Brighthive ,https://www.brighthive.ai,US,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Dendron Neurotechnologies,www.dendronneuro.com,Spain,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Aspect (Clinics/Outpatient Services),www.aspect-health.com,United States,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Uptime Industries,www.uptime.industries,United States,Undisclosed,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
CoeusAI,https://projectcoeus.com/,NL,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Oncosyne,https://www.oncosyne.no,NO,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
constellr,https://www.constellr.com,DE,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
ReplyFabric,https://replyfabric.ai,BE,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Movesense Ltd,https://www.movesense.com,FI,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations; Rule 5: Dev & Legacy
Lensor Oy,https://lensor.io,FI,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
MeMotion,https://www.linkedin.com/in/ebourdon,FR,startup,46,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
AYE3D Inc.,https://aye3d.com/en/,CA,startup,46,Tier 3: Medium Priority,Rule 4: Health Innovations
LEIA ,https://www.leia.health/en,SE,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cacto Health,https://cactohealth.com/,DK,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
CloudBooster,https://cloudbooster.io,CZ,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cyberette,https://cyberette.ai/,NL,startup,46,Tier 3: Medium Priority,Rule 1: Platform Enablers
Diploi,www.diploi.com,Finland,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Entwick Inc.,https://www.entwick.com,KR,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
UpTrend,https://up-trend.co.uk,GB,Undisclosed,45,Tier 3: Medium Priority,Rule 2: Service Providers
Moom Stu,https://www.moom.studio/,TH,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Omply Health Oy,https://omply.health/,FI,Undisclosed,45,Tier 3: Medium Priority,Rule 4: Health Innovations
RoverMitra,https://rovermitra.com/,DE,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Flowzone,www.flowzone.eu,Norway,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
DXcrete,www.dxcrete.nl,Netherlands,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
LionRep Oy,https://www.lionrep.com,FI,Undisclosed,45,Tier 3: Medium Priority,Rule 2: Service Providers
SkoneLabs,www.skonelabs.com,Germany,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Brizo,www.brizo.se,Sweden,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Dentcense,www.dentcense.com,Finland,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Medoma,medoma.com,Sweden,Undisclosed,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
HarvestAi,https://harvest-ai.com/,DE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
ZERØTEC,https://www.zerotec.eco,GB,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
BEYLA,https://www.beyla.ai,GB,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Equito App,https://www.equito.app/,ES,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Holy Technologies,https://www.holy-technologies.com,DE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cortisys Ltd,https://startupcenter.aalto.fi/node/1484,FI,startup,45,Tier 3: Medium Priority,Rule 4: Health Innovations
Elevolt,https://elevolt.io/,FI,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
FOR,https://www.for.co,FI,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
MindsDB,https://www.mindsdb.com,US,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Oriole,https://www.oriolenetworks.com/,GB,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
(Infoldra) Shima Services & Soutions AB,https://infoldra.com/,SE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Panakeia Technolgies ,https://www.panakeia.ai/,GB,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Clinexus,,FI,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Zertifier SL,https://zertifier.com/,ES,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
"NROC Security, Inc.",https://nrocsecurity.com/,US,startup,45,Tier 3: Medium Priority,Rule 3: Insurance Solutions
GenoGra,https://www.genogra.com,IT,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Senvo,https://senvo.de/,DE,startup,45,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Hive Power,https://www.hivepower.tech,CH,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Soil Scout Ltd,https://soilscout.com,FI,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
ITUS Secure Technologies,https://itusprotect.io/,GB,startup,45,Tier 3: Medium Priority,Rule 3: Insurance Solutions
LiveEO GmbH,https://www.live-eo.com/,DE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
JustHealth,https://onko-pass.de,DE,startup,45,Tier 3: Medium Priority,Rule 4: Health Innovations
Symptonic R2B Project / Aalto University,,FI,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
incaseof.law GmbH,https://www.incaseof.law/,AT,startup,45,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Yazen Health AB,https://www.yazen.com/,SE,startup,45,Tier 3: Medium Priority,Rule 4: Health Innovations
p&e power&energy GmbH,https://p-and-e.com,DE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
encosa energy GmbH,https://www.encosa.energy/,DE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Kiku,https://www.getkiku.com/,DK,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Aris Machina,https://www.arismachina.com,SE,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Syncable,https://syncable.dev,DK,startup,45,Tier 3: Medium Priority,Rule 1: Platform Enablers
Mint Link,https://mint.link/,ES,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Uniq Things,https://www.uniqthings.de,DE,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Imaginate,https://imaginate.cc,FI,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
TikBox,https://tikbox.io,GB,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
EquaFish,https://www.equafish.com/,NO,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
OWN GmbH,https://www.owndataready.ai,DE,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
8wave.ai,https://www.8wave.ai,FI,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
CloudTop,https://cloudtop.com,SE,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
edgy.digital,edgy.digital,Czech Republic,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Blue Room Innovation,www.blueroominnovation.com,Spain,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Louhe,www.louhe.com,Finland,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Greenpill,https://greenpill.tech,NL,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Droplet Instruments,https://droplet-instruments.com,FI,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Movesense,www.movesense.com,Finland,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
EstateVision,https://estatevision.ai,IT,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Self Hack Oy,https://www.selfhack.fi,FI,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Eilla,www.eilla.ai,United Kingdom,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Deeploy,www.deeploy.ml,Netherlands,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
IPRally,www.iprally.com,Finland,Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Powerful Medical,powerfulmedical.com,Slovakia (Slovak Republic),Undisclosed,44,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
SPiNE Energy,https://spine.energy/,DE,startup,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
LAPIO.AI,https://www.lapio.ai,FI,startup,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
NtangledState Inc.,https://ntangledstate.com,CA,startup,44,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
1000PS Internet GmbH,https://www.1000ps.com,AT,scaleup,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
AltoTech Global,https://altotech.ai/,TH,startup,44,Tier 3: Medium Priority,Rule 1: Platform Enablers
Agaton,https://www.agaton.ai,SE,startup,44,Tier 3: Medium Priority,Rule 2: Service Providers
Decisimo,https://www.decisimo.com,GB,Undisclosed,43,Tier 3: Medium Priority,Rule 3: Insurance Solutions
JIZO,https://www.thejizo.com/about,ES,Undisclosed,43,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
Maya Data,www.mayadataprivacy.com,Ireland,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
thirdface,https://thirdface.com,DE,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Netsoooon.Ai,www.netsooon.ai,France,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Untap,www.untaphealth.com,United Kingdom,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Rec-Motion,https://rec-motion.eu/,NL,Undisclosed,43,Tier 3: Medium Priority,Rule 2: Service Providers
RFC,www.rfcpower.com,United Kingdom,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Watchibia,https://watchibia.com,CH,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Ai2Ai,www.ai2ai.fi,Finland,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
SiPhox,www.siphoxhealth.com,United States,Undisclosed,43,Tier 3: Medium Priority,Rule 4: Health Innovations; Rule 5: Dev & Legacy
BrainLink,brainlink.se,Sweden,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Eagle AI AS,https://eagleai.no/,NO,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
enshift,www.enshift.com,Switzerland,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Graphenicalab,www.graphenicalab.com,Spain,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
ekai,https://ekai.ai,US,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Marginum,www.marginum.com,Finland,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Manitty,www.manitty.com,France,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
IMPLANZ,https://implanz.com/,CH,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Trusted Flows,https://www.trustedflows.com,GB,Undisclosed,43,Tier 3: Medium Priority,Rule 3: Insurance Solutions
respiQ,www.respiq.com,Netherlands,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Novidian,https://www.novidian.co.uk,GB,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Spaictra,www.spaictra.com,France,Undisclosed,43,Tier 3: Medium Priority,Rule 4: Health Innovations
Iceye,https://www.iceye.com/,Finland,Undisclosed,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Linio Biotech,https://www.linio-biotech.com,FI,scaleup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Rentzzy,https://rentzzy.com/,HU,startup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Kailo,https://kailo.pro,MK,startup,43,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
Metaforge Labs,https://metaforgelabs.com/,CY,startup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Flow Computing,https://flow-computing.com,FI,startup,43,Tier 3: Medium Priority,Rule 5: Dev & Legacy
PureIMS,https://pureims.com/,NL,scaleup,43,Tier 3: Medium Priority,Rule 4: Health Innovations
"VELIONIS CO., LTD",https://http://www.cozyarm.kr/,KR,startup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Cyberday Inc,https://cyberday.ai,FI,scaleup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Level Zero Health,,GB,startup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Faireec,,FI,startup,43,Tier 3: Medium Priority,Rule 1: Platform Enablers
Gyre Energy,www.gyreenergy.com,United Kingdom,2 - Validating,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Solace Care,www.solace.care,Sweden,1 - Emerging,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
TrialMe AB,,Sweden,1 - Emerging,42,Tier 3: Medium Priority,Rule 4: Health Innovations
MCP-Builder.ai,https://mcp-builder.ai,AT,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Rinnoco Ltd,https://rinnoco.com,CY,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
SnapStack,snapstack.cz,Czech Republic,Undisclosed,42,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Getta.ai,https://getta.ai,,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Groundswell,https://www.groundswell.earth/,,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Sagittal,sagittal.ai,United Kingdom,Undisclosed,42,Tier 3: Medium Priority,Rule 5: Dev & Legacy
Modino.io,modino.io,Poland,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Yavio,https://yavio.io,DE,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Shen AI,www.shen.ai,Estonia,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions; Rule 4: Health Innovations
KnowGuard AI,https://www.knowguardai.com,,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
DummDumm Inc.,https://www.dummdumm.global,KR,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
DeepFlow,www.deepflow.com,United Kingdom,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Homie,www.usehomie.com,Singapore,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Factorium,factorium.tech,Thailand,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Nvelop,www.nvelop.ai,Finland,Undisclosed,42,Tier 3: Medium Priority,Rule 2: Service Providers
Qare,www.qare.fr,France,Undisclosed,42,Tier 3: Medium Priority,Rule 4: Health Innovations
Xaver,www.xaver.com,Germany,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Cloudsquid,www.cloudsquid.io,Germany,Undisclosed,42,Tier 3: Medium Priority,Rule 2: Service Providers
Yazen,www.yazen.com,Sweden,Undisclosed,42,Tier 3: Medium Priority,Rule 4: Health Innovations
IntelSwift,intelswift.com,Estonia,Undisclosed,42,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
SEC Technologies,https://www.sec-technologies.com/,SK,scaleup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
WasteSide GmbH,https://www.wasteside.de/,DE,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Vizaible,https://www.vizaible.com,BE,startup,42,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Cetasol,https://cetasol.com/,SE,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Zero Gravity Oy,https://www.zerogravity.fi/,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Digna AS,https://www.digna.no/,NO,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Carneiro Oy,https://www.carneirogroup.com/,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Parenum Oy,https://www.hobiver.com,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
VITAS,https://www.telefonassistent.de,DE,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Firefly Sensing B.V.,https://fireflysensing.com/,NL,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Docue Technologies Oy,https://docue.com/en-gb,FI,scaleup,42,Tier 3: Medium Priority,Rule 2: Service Providers
Gaidor Oy,https://gaidor.ai/,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
hololink.io,https://www.hololink.io/,DK,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Nimi,https://www.nimi.live,GB,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Sesamers,https://app.sesamers.com,FR,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
TheyRank,https://theyrank.com/,GB,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Aikido Security,https://aikido.dev/,BE,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tjecko B.V.,https://tjecko.com,NL,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
BOTNOI Group,https://botnoigroup.com,TH,scaleup,42,Tier 3: Medium Priority,Rule 4: Health Innovations
BIOCOLL / VTT LaunchPad,,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Dutch Sensor Systems B.V. ,https://www.dutchsensorsystems.com,NL,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Astrumlux,,FI,startup,42,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Blueprint Crusher OY,https://www.blueprintcrusher.com/,FI,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
IoTique,https://www.iotique.it,IT,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
LegalTegrity GmbH,https://legaltegrity.com,DE,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
EVorkshop.com,https://evorkshop.com/,PL,scaleup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tweaq,https://www.tweaq.ai,GB,startup,42,Tier 3: Medium Priority,Rule 1: Platform Enablers
Dandelion Diagnostics,https://dandeliondx.com,DK,2 - Validating,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Myscribe,www.myscribe.de,Germany,1 - Emerging,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Molnett,www.molnett.com,Sweden,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
XRTC,https://www.xrtc.io,FI,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Optifi,https://www.optifiplatform.com,GB,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Theup,www.theup.io,Poland,Undisclosed,41,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Nisquare/Niro AI,https://www.niroai.dev,,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Level Zero,www.levelzerohealth.com,United States,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
The PoC,https://www.thepoc.ai/,SE,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tekve,www.tekve.fi,Finland,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Nauti,https://nauti.one/,NL,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Spinal,www.withspinal.com,Spain,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Gamma Meon,https://solarenergyport.net,GB,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Shareback,www.shareback.com,United Kingdom,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
SDA ProposalPro,https://proposal.it.com/,EE,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
EasyHTA,https://easyhta.com/,FI,Undisclosed,41,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
2BM Software,2bmsoftware.com,Denmark,Undisclosed,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Quantune,www.quantune.com,Germany,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Sizeless,www.sizeless.co,United States,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Bone Index Finland Ltd,https://boneindex.com,FI,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
AI @ Your Service,https://atyourservice.ai,FI,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Altum,www.altumsequencing.com,Spain,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Manus AI,www.manus.im,Singapore,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Hedera Dx,www.hederadx.com,Switzerland,Undisclosed,41,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Hemby,https://www.hemby.com/en,FI,startup,41,Tier 3: Medium Priority,Rule 3: Insurance Solutions
enabl Technologies GmbH,https://www.enabl-tech.de/de,DE,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
IQM Quantum Computers,https://www.meetiqm.com,FI,scaleup,41,Tier 3: Medium Priority,
Dragon Guild Ltd,https://dragonguild.org,GB,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
"Cache AI Technologies, inc.",https://cacheai.geek-guild.com/,US,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
smeGo,https://smego.com/,NL,scaleup,41,Tier 3: Medium Priority,
MeetingPackage,https://meetingpackage.com/,FI,scaleup,41,Tier 3: Medium Priority,
InhalPlus,https://www.inhalplus.com,DE,startup,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Revive Battery B.V,https://revivebattery.eu,NL,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Honu AI,https://www.honu.ai,GB,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
MATRIA,https://www.matria.tech,TR,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Granarium Technologies / VTT LaunchPad,https://www.vttresearch.com/en/about-us/invest-innovation/vtt-launchpad/granarium-technologies,FI,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
solarwing,https://solarwing.io,AT,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Aerospec,https://aerospec.ch/,CH,startup,41,Tier 3: Medium Priority,Rule 3: Insurance Solutions
NeoCarbon,https://www.neocarbon.tech/,DE,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
NexUse IP Solutions,,EE,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
OASYS NOW,https://www.oasysnow.com,NL,startup,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Sustafe,https://sustafe.com/,FI,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
CeraSleeve® GmbH,https://www.cerasleeve.com/,DE,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Swistor SA,https://www.swistor.com,CH,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Corsmed,https://corsmed.com/,SE,startup,41,Tier 3: Medium Priority,Rule 4: Health Innovations
Strain Vaults,https://www.strainvaults.com/,GB,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
StepHow Inc.,https://www.wissly.ai,KR,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Supair,https://www.supair.it/,IT,startup,41,Tier 3: Medium Priority,Rule 1: Platform Enablers
Lumoin,https://lumoin.com,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Marsland Institute,https://marslandinstitute.com,CA,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Demp bio,https://demp-bio.com/,NO,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
RideScan,www.ridescan.ai,United Kingdom,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Repli Oy,https://www.repli.dev,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Rise.,www.rise.works,Spain,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Switchpoint Bio,https://www.switchpointbio.com/,FI,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
ESLOG,https://eslog.io,PL,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
FUTUR-AI,https://www.futur-ai.it/,IT,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
EAGLE RAY ROBOTICS,https://www.eaglerayrobotics.com/,GB,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
Emission-Eye,emission-eye.com,Finland,Undisclosed,40,Tier 3: Medium Priority,Rule 1: Platform Enablers
